runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;295.35;6;0;356.8416904
2;299.61;6;0;364.4530289
3;309.03;6;0;375.018157
4;313.1;6;0;375.9234251
5;312.52;6;0;377.3138016
6;302.91;6;1;366.4004777
7;315.36;6;0;381.306566
8;306.14;6;0;373.6896654
9;302.7;6;0;367.100781
10;314.38;6;0;380.6603238
11;319.26;6;0;384.3592854
12;323.31;6;0;392.33178
13;316.64;6;0;398.2227208
14;314.35;6;0;378.4980651
15;318.32;6;1;382.9760343
16;310.75;6;0;375.6731088
17;315.68;6;0;380.6603471
18;309.45;6;0;374.4563265
19;313.34;6;0;378.7958438
20;2h11m37.16300;6;6;7962.3964762
