runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;236.63;6;2;304.7911461
2;282.21;6;0;344.8859284
3;281.07;6;0;343.4429023
4;228;6;2;290.2484188
5;287.55;6;0;350.4441571
6;226.93;6;3;291.247313
7;286.75;6;2;350.8860722
8;226.03;6;3;288.1199319
9;262.56;6;2;323.1880392
10;302.23;6;0;364.8282178
11;294.94;6;0;357.0388357
12;257.25;6;2;319.7788466
13;296.26;6;0;359.1011657
14;285.76;6;1;347.1428952
15;433.57;6;0;494.7090429
16;189.79;6;5;264.8876797
17;229.81;6;3;304.5122956
18;301.06;6;0;373.666044
19;300.28;6;0;373.5475549
20;233.39;6;3;305.2670329
