runNumber;failingTestName
1;ArticleTests.testOpeningAndClosingReferences
2;ArticleTests.testClickLink_fullText_assertPreviewShown
2;ArticleTests.testOpeningAndClosingReferences
3;ArticleTests.testClickLink_fullText_assertPreviewShown
3;ArticleTests.testClickLink_partialText_assertPreviewShown
4;ArticleTests.testClickLink_partialText_assertPreviewShown
5;ArticleTests.testClickLink_fullText_assertPreviewShown
6;ArticleTests.testClickLink_partialText_assertPreviewShown
6;ArticleTests.testOpeningAndClosingReferences
7;ArticleTests.testClickLink_fullText_assertPreviewShown
7;ArticleTests.testClickLink_partialText_assertPreviewShown
7;ArticleTests.testOpeningAndClosingReferences
7;ArticleTests.testTableOfContents_checkSubTitles
7;RotationTests.testOpenTab_rotatePhone
