runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;249.2;6;0;320.9249414
2;236.77;6;0;294.3198895
3;238.74;6;0;296.8660977
4;219.27;6;1;277.5811316
5;245.12;6;0;301.9957147
6;255.84;6;0;311.9164621
7;233.72;6;1;290.4555549
8;251.17;6;0;308.2576656
9;248.58;6;0;306.288772
10;251.13;6;0;308.3401731
11;241.47;6;0;299.4328681
12;251.57;6;0;309.4300659
13;251.36;6;0;308.9561714
14;243.56;6;0;300.8957648
15;248.3;6;0;305.9675397
16;247.87;6;0;306.7910727
17;247.16;6;0;304.4172995
18;242.18;6;1;298.801091
19;249.49;6;0;306.5554123
