runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;247.09;6;0;318.5019036
2;248.89;6;0;307.2545061
3;246.39;6;0;304.6103385
4;232.99;6;0;295.1172594
5;236.19;6;0;308.4142299
6;248.83;6;0;306.5061125
7;241.95;6;0;299.0382707
8;243.53;6;0;301.344622
9;248.03;6;0;304.5466166
10;249.57;6;0;307.0215359
11;248.95;6;0;305.7011608
12;244.91;6;0;301.7941152
13;246.29;6;0;304.4738483
14;243.43;6;0;300.3077885
15;248.44;6;0;304.9603563
16;237.35;6;1;295.2842973
17;250.26;6;0;306.1293068
18;244.34;6;0;302.1427756
19;244.42;6;0;301.125863
