runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;242.98;6;0;311.7478122
2;235.44;6;0;293.077758
3;225.84;6;1;289.9097188
4;255.75;6;0;314.4629347
5;253.04;6;0;310.5641179
6;256.77;6;0;314.4932003
7;248.31;6;0;305.3362525
8;252.26;6;0;311.067185
9;258.08;6;0;317.4546909
10;251.88;6;0;309.5264322
11;248.35;6;0;304.7562902
12;250.72;6;0;307.7044269
13;253.93;6;0;311.6635783
14;250.39;6;0;308.1455463
15;248.66;6;0;306.9215008
16;246.54;6;0;304.4221682
17;251.52;6;0;310.2635169
18;246.08;6;0;304.2757061
19;248.83;6;0;306.7822122
