runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;20.276;6;6;75.4482916
2;40.195;6;0;85.0463787
3;41.818;6;0;86.5612012
4;42.253;6;0;86.6722919
5;41.184;6;0;99.6011847
6;42.069;6;0;96.9222193
7;42.508;6;0;91.310153
8;44.171;6;0;95.0725298
9;42.194;6;0;98.8253505
10;41.914;6;0;98.7804757
11;44.081;6;0;94.2731057
12;42.861;6;0;90.7027311
13;18.935;6;5;66.1663101
14;13.958;6;6;61.1022373
15;26.913;6;4;74.1899451
16;40.978;6;0;94.1320471
17;43.817;6;0;90.9128342
18;42.414;6;0;89.9157541
19;39.891;6;0;87.7761632
20;43.693;6;0;91.5670205
21;41.955;6;0;89.6626469
22;41.098;6;0;96.3451038
23;43.685;6;0;96.1931707
24;44.256;6;0;91.5257973
25;42.232;6;0;93.7486709
