runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;255.97;6;0;307.7867388
2;239.81;6;0;299.3113296
3;236.82;6;0;295.285572
4;236.08;6;0;294.6438024
5;231.2;6;1;289.5652256
6;236.65;6;0;293.0670371
7;237.55;6;0;300.3230257
8;230.19;6;1;301.0967366
9;235.41;6;0;293.1444719
10;247.45;6;0;305.210378
11;239.71;6;0;298.2294018
12;250.39;6;1;307.8768072
13;246.39;6;0;303.5432732
14;245.7;6;0;303.9219773
15;240.05;6;0;299.0872465
16;234;6;0;292.6912086
17;212.45;6;1;270.1083925
18;239.3;6;0;296.3942237
19;222.62;6;1;280.9612397
20;1434.16;6;1;1492.5393107
