runNumber;failingTestName
12;ArticleTests.testTableOfContents_checkSubTitles
12;RotationTests.testOpenTab_rotatePhone
12;TabTests.testOpenArticleInNewTab
13;ArticleTests.testClickLink_fullText_assertPreviewShown
13;ArticleTests.testClickLink_partialText_assertPreviewShown
13;ArticleTests.testOpeningAndClosingReferences
13;ArticleTests.testTableOfContents_checkSubTitles
13;RotationTests.testOpenTab_rotatePhone
13;TabTests.testOpenArticleInNewTab
14;ArticleTests.testClickLink_fullText_assertPreviewShown
14;ArticleTests.testClickLink_partialText_assertPreviewShown
14;ArticleTests.testOpeningAndClosingReferences
14;ArticleTests.testTableOfContents_checkSubTitles
14;RotationTests.testOpenTab_rotatePhone
14;TabTests.testOpenArticleInNewTab
15;ArticleTests.testClickLink_fullText_assertPreviewShown
15;ArticleTests.testClickLink_partialText_assertPreviewShown
15;ArticleTests.testOpeningAndClosingReferences
15;ArticleTests.testTableOfContents_checkSubTitles
15;RotationTests.testOpenTab_rotatePhone
15;TabTests.testOpenArticleInNewTab
16;ArticleTests.testClickLink_fullText_assertPreviewShown
16;ArticleTests.testClickLink_partialText_assertPreviewShown
16;ArticleTests.testOpeningAndClosingReferences
16;ArticleTests.testTableOfContents_checkSubTitles
16;RotationTests.testOpenTab_rotatePhone
16;TabTests.testOpenArticleInNewTab
17;ArticleTests.testClickLink_fullText_assertPreviewShown
17;ArticleTests.testClickLink_partialText_assertPreviewShown
17;ArticleTests.testOpeningAndClosingReferences
17;ArticleTests.testTableOfContents_checkSubTitles
17;RotationTests.testOpenTab_rotatePhone
17;TabTests.testOpenArticleInNewTab
18;ArticleTests.testClickLink_fullText_assertPreviewShown
18;ArticleTests.testClickLink_partialText_assertPreviewShown
18;ArticleTests.testOpeningAndClosingReferences
18;ArticleTests.testTableOfContents_checkSubTitles
18;RotationTests.testOpenTab_rotatePhone
18;TabTests.testOpenArticleInNewTab
19;ArticleTests.testClickLink_fullText_assertPreviewShown
19;ArticleTests.testClickLink_partialText_assertPreviewShown
19;ArticleTests.testOpeningAndClosingReferences
19;ArticleTests.testTableOfContents_checkSubTitles
19;RotationTests.testOpenTab_rotatePhone
19;TabTests.testOpenArticleInNewTab
20;ArticleTests.testClickLink_fullText_assertPreviewShown
20;ArticleTests.testClickLink_partialText_assertPreviewShown
20;ArticleTests.testOpeningAndClosingReferences
20;ArticleTests.testTableOfContents_checkSubTitles
20;RotationTests.testOpenTab_rotatePhone
20;TabTests.testOpenArticleInNewTab
21;ArticleTests.testClickLink_fullText_assertPreviewShown
21;ArticleTests.testClickLink_partialText_assertPreviewShown
21;ArticleTests.testOpeningAndClosingReferences
21;ArticleTests.testTableOfContents_checkSubTitles
21;RotationTests.testOpenTab_rotatePhone
21;TabTests.testOpenArticleInNewTab
22;ArticleTests.testClickLink_fullText_assertPreviewShown
22;ArticleTests.testClickLink_partialText_assertPreviewShown
22;ArticleTests.testOpeningAndClosingReferences
22;ArticleTests.testTableOfContents_checkSubTitles
22;RotationTests.testOpenTab_rotatePhone
22;TabTests.testOpenArticleInNewTab
23;ArticleTests.testClickLink_fullText_assertPreviewShown
23;ArticleTests.testClickLink_partialText_assertPreviewShown
23;ArticleTests.testOpeningAndClosingReferences
23;ArticleTests.testTableOfContents_checkSubTitles
23;RotationTests.testOpenTab_rotatePhone
23;TabTests.testOpenArticleInNewTab
24;ArticleTests.testClickLink_fullText_assertPreviewShown
24;ArticleTests.testClickLink_partialText_assertPreviewShown
24;ArticleTests.testOpeningAndClosingReferences
24;ArticleTests.testTableOfContents_checkSubTitles
24;RotationTests.testOpenTab_rotatePhone
24;TabTests.testOpenArticleInNewTab
25;ArticleTests.testClickLink_fullText_assertPreviewShown
25;ArticleTests.testClickLink_partialText_assertPreviewShown
25;ArticleTests.testOpeningAndClosingReferences
25;ArticleTests.testTableOfContents_checkSubTitles
25;RotationTests.testOpenTab_rotatePhone
25;TabTests.testOpenArticleInNewTab
26;ArticleTests.testClickLink_fullText_assertPreviewShown
26;ArticleTests.testClickLink_partialText_assertPreviewShown
26;ArticleTests.testOpeningAndClosingReferences
26;ArticleTests.testTableOfContents_checkSubTitles
26;RotationTests.testOpenTab_rotatePhone
26;TabTests.testOpenArticleInNewTab
27;ArticleTests.testClickLink_fullText_assertPreviewShown
27;ArticleTests.testClickLink_partialText_assertPreviewShown
27;ArticleTests.testOpeningAndClosingReferences
27;ArticleTests.testTableOfContents_checkSubTitles
27;RotationTests.testOpenTab_rotatePhone
27;TabTests.testOpenArticleInNewTab
28;ArticleTests.testClickLink_fullText_assertPreviewShown
28;ArticleTests.testClickLink_partialText_assertPreviewShown
28;ArticleTests.testOpeningAndClosingReferences
28;ArticleTests.testTableOfContents_checkSubTitles
28;RotationTests.testOpenTab_rotatePhone
28;TabTests.testOpenArticleInNewTab
29;ArticleTests.testClickLink_fullText_assertPreviewShown
29;ArticleTests.testClickLink_partialText_assertPreviewShown
29;ArticleTests.testOpeningAndClosingReferences
29;ArticleTests.testTableOfContents_checkSubTitles
29;RotationTests.testOpenTab_rotatePhone
29;TabTests.testOpenArticleInNewTab
30;ArticleTests.testClickLink_fullText_assertPreviewShown
30;ArticleTests.testClickLink_partialText_assertPreviewShown
30;ArticleTests.testOpeningAndClosingReferences
30;ArticleTests.testTableOfContents_checkSubTitles
30;RotationTests.testOpenTab_rotatePhone
30;TabTests.testOpenArticleInNewTab
