runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;207.59;6;6;276.0795009
2;171.51;6;6;229.1039406
3;197.43;6;6;254.7426104
4;209.11;6;6;265.4708533
5;203.82;6;6;260.5524271
6;204.95;6;6;261.5690418
7;202.79;6;6;260.2737517
8;204.4;6;6;260.9891946
9;209;6;6;265.4018093
10;206.72;6;6;262.4936389
11;210.03;6;6;266.4120808
12;210.14;6;6;265.6934735
13;203.23;6;6;261.2312234
14;209.74;6;6;266.7535576
15;207.58;6;6;265.7942137
16;205.86;6;6;263.3034398
17;189.44;6;6;245.9167167
18;206.86;6;6;263.7577381
19;210.5;6;6;267.7748881
20;204.63;6;6;261.8918294
21;433.49;6;6;490.1622346
22;558.48;6;6;614.934692
23;554.73;6;6;610.2159811
24;558.43;6;6;614.0813857
25;565.41;6;6;621.2456317
26;495.58;6;6;551.6782561
27;559.85;6;6;615.8178024
28;555.12;6;6;611.6964428
29;553.78;6;6;609.0573905
30;552.66;6;6;608.799551
