runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;43.22;6;0;192.0731915
2;44.778;6;0;99.647538
3;41.586;6;0;92.5920989
4;42.673;6;0;92.1019848
5;52.894;6;0;102.5952085
6;42.3;6;0;92.2033991
7;44.404;6;0;95.9464481
8;43.692;6;0;106.0385493
9;43.729;6;0;114.5946309
10;44.712;6;0;105.9579136
11;45.025;6;0;107.0337951
12;46.349;6;0;106.9408544
13;46.096;6;0;116.1968079
14;44.176;6;0;106.4639563
15;42.955;6;0;96.3081304
16;46.185;6;0;106.3363134
17;44.293;6;0;101.6167737
18;45.021;6;0;113.0524764
19;45.081;6;0;98.2398001
20;45.242;6;0;98.1585707
21;44.332;6;0;98.6030765
22;55.308;6;0;107.3983792
23;54.312;6;0;107.9615632
24;49.012;6;0;100.635534
25;45.229;6;1;100.9224837
26;49.265;6;0;106.4374346
27;50.647;6;0;108.2010331
28;45.195;6;0;102.1819635
29;43.892;6;0;97.9034516
30;45.198;6;0;106.2258074
