runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;238.03;6;0;305.3972671
2;248.1;6;0;305.7403274
3;225.71;6;1;283.2924307
4;236.69;6;0;294.5697392
5;246.74;6;0;304.1002161
6;227.59;6;1;284.3473036
7;225.12;6;1;283.4990022
8;230.19;6;3;287.5095559
9;221.69;6;1;278.656897
10;222.58;6;1;278.9303229
11;252.75;6;1;309.8419321
12;240.55;6;0;298.5708174
13;225.03;6;1;281.7015137
14;237.77;6;0;295.1642746
15;278.29;6;1;335.6019727
16;230.28;6;0;288.8338326
17;240.17;6;1;297.3944163
18;236.27;6;0;293.536379
19;243.94;6;0;301.3229176
20;216.16;6;1;274.2919124
