runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;41.51;6;0;82.3218304
2;41.581;6;0;82.0705469
3;42.686;6;0;82.8215793
4;41.782;6;0;83.0314366
5;42.129;6;0;87.1651536
6;40.591;6;0;89.396631
7;42.291;6;0;94.3699248
8;42.862;6;0;95.0391624
9;42.515;6;0;95.8301897
10;41.364;6;0;90.9574514
11;41.73;6;0;92.7219566
12;42.188;6;0;92.9531922
13;41.623;6;0;93.5933031
14;42.272;6;0;95.5589857
15;42.116;6;0;91.6227759
16;41.714;6;0;91.1027919
17;41.175;6;0;91.5286749
18;41.852;6;0;91.467532
19;42.273;6;0;94.3613382
20;43.489;6;0;93.8241322
21;42.367;6;0;91.7792959
22;41.652;6;0;93.2100069
23;42.639;6;0;92.0485803
24;42.38;6;0;90.6772289
25;42.171;6;0;92.3096941
26;41.639;6;0;91.1754647
27;41.835;6;0;92.0070945
28;41.695;6;0;91.9835717
29;41.483;6;0;90.9416497
30;41.386;6;0;91.9954761
