runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,188.39,9,3,317.9163583
2,220.81,9,3,267.2530448
3,243.38,9,0,301.0921362
4,248.86,9,1,297.5884691
5,235.95,9,0,284.8874698
6,226.84,9,0,274.4333264
7,230.74,9,0,278.7790815
8,233.67,9,2,281.9510724
9,242.81,9,0,290.5206895
10,245.54,9,0,293.0966759
11,232.52,9,0,282.5012782
12,228.03,9,1,288.0720552
13,246.64,9,0,296.0740242
14,222.23,9,1,278.6651778
15,225.79,9,0,273.853476
16,237.09,9,0,284.6756019
17,237.87,9,0,288.0590719
18,239.79,9,0,288.3223022
19,239.74,9,0,287.9673801
20,238.5,9,0,286.779445
21,229.41,9,2,277.3560733
22,215.9,9,0,264.3597659
23,235.37,9,0,283.6584127
24,236.32,9,0,284.9725882
25,226.95,9,1,275.6474324
26,194.35,9,0,327.6995882
27,217.53,9,0,264.7675459
28,231.93,9,0,288.1069045
29,242.29,9,0,290.9395432
30,235.44,9,1,283.7057527
31,244.31,9,0,292.5705151
32,231.55,9,1,279.4193526
33,240.6,9,0,288.3214729
34,226.74,9,1,274.6540676
35,223.67,9,0,271.3615859
36,225.67,9,1,273.5936057
37,233.9,9,0,281.9808635
38,217.85,9,2,267.0753446
39,252.67,9,0,301.6895872
40,264.95,9,1,322.5016092
41,228.79,9,1,277.2050446
42,232.05,9,1,280.0694111
43,217.94,9,2,265.8869633
44,233.28,9,0,281.8045534
45,231.18,9,0,279.6745353
46,194.85,9,2,252.2560663
47,232.95,9,0,307.9857043
48,223.54,9,1,274.0680413
49,232.92,9,2,286.2762069
50,231.06,9,0,278.161623
51,240,9,0,288.2404013
52,218.5,9,1,267.3406971
53,237.41,9,0,286.878446
54,235.21,9,0,284.2263431
55,241.51,9,0,291.6084442
56,244.98,9,0,296.7670613
57,226.69,9,1,282.219742
58,233.87,9,1,283.2843886
59,243.31,9,1,291.298296
60,235.15,9,1,283.193638
61,240.55,9,0,289.2116567
62,237.15,9,1,285.5269712
63,222.57,9,0,272.5672279
64,227.95,9,1,277.6077434
65,243.02,9,0,291.182935
66,227.31,9,1,275.7686075
67,244.48,9,0,292.9991968
68,226.35,9,2,275.4418707
69,226.34,9,0,275.3595059
70,229.35,9,1,277.7681655
71,236.26,9,1,285.0150139
72,214.3,9,1,262.8031663
73,243.9,9,0,292.9638503
74,233.85,9,0,282.7876384
75,227.4,9,0,279.5728472
76,191.69,9,1,323.8180271
77,197.9,9,0,244.0108985
78,231.78,9,0,279.8210066
79,240.88,9,1,298.3237019
80,223.71,9,1,280.7238977
