runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,592.43,9,1,663.2244119
2,585.62,9,0,655.2152034
3,616.27,9,0,673.4046943
4,612.97,9,0,670.1446628
5,572.6,9,0,629.4536286
6,621.68,9,0,679.1092973
7,593.04,9,0,650.8039198
8,586.47,9,0,644.9447344
9,586.66,9,0,645.076489
10,607.37,9,0,663.9818082
11,571.45,9,0,628.0961433
12,609.38,9,0,666.6947596
13,573.51,9,0,629.5977123
14,625.87,9,0,681.8977201
15,615.26,9,0,671.1915795
16,547.52,9,2,617.480632
17,561,9,0,623.1146797
18,592.72,9,0,651.9749056
19,570.98,9,1,627.9786176
20,537.96,9,1,595.0470597
21,575.6,9,0,633.3045554
22,556.66,9,1,614.0844464
23,588.51,9,1,646.5960738
24,601.15,9,1,657.0850192
25,566.83,9,1,624.5198277
26,585.24,9,0,641.9827105
27,561.74,9,1,618.6863976
28,619.24,9,0,675.9641165
29,591.07,9,0,648.2655648
30,591.01,9,0,650.1733408
31,597.05,9,0,654.8901206
32,591.14,9,0,647.9214305
33,552.76,9,1,610.0557408
34,571.98,9,1,629.411467
35,533.45,9,1,607.2335306
36,587.11,9,0,644.4437076
37,620.08,9,1,677.952096
38,573.33,9,1,630.5828744
39,553.22,9,1,613.726762
40,593.79,9,1,646.3608688
41,591.87,9,0,644.5383652
42,600.93,9,0,653.8188331
43,591.33,9,0,643.9452456
44,580.71,9,0,632.657422
45,580.22,9,1,632.4258556
46,580.6,9,0,637.8630164
47,588.31,9,0,645.7223662
48,594.03,9,0,655.7019735
49,580,9,0,641.3304811
50,552.98,9,2,613.4531472
51,562.39,9,0,623.130469
52,574.32,9,0,636.6639224
53,580.32,9,0,640.820629
54,604.28,9,0,663.7765982
