runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,109.23,9,0,162.6137153
2,104.67,9,0,147.4363753
3,102.26,9,1,143.276472
4,108.62,9,0,150.8197933
5,112.92,9,0,156.8385355
6,102.97,9,1,147.7805199
7,103.95,9,0,152.4459385
8,106.77,9,0,155.9442058
9,106.46,9,0,157.1152995
10,110.43,9,0,164.5527786
11,112.44,9,0,162.717562
12,109.46,9,0,159.8484065
13,110.72,9,0,161.393647
14,113.15,9,0,163.7554137
15,114.39,9,0,163.1334897
16,112.11,9,1,162.6478565
17,113.72,9,0,164.5523812
18,112.97,9,0,164.277707
19,109.59,9,0,160.1029151
20,111.24,9,0,162.90432
21,109.63,9,0,161.457869
22,117.64,9,0,171.2418508
23,110.97,9,0,160.8787926
24,112.8,9,0,163.4922105
25,114.13,9,0,164.09571
26,108.79,9,0,162.7181151
27,107.21,9,1,157.6262356
28,126.81,9,0,177.0925977
29,111.69,9,0,161.2726526
30,112.04,9,0,164.950332
31,112.84,9,0,164.0098607
32,115.44,9,0,167.1309831
33,107.77,9,1,159.0015727
34,110.55,9,0,161.9896671
35,111.1,9,0,165.1224434
36,112.66,9,0,165.3896663
37,113.9,9,0,167.386795
38,114.55,9,1,166.2437392
39,113.59,9,0,165.2582735
40,102.81,9,1,155.1822964
41,110.13,9,0,163.7709787
42,113.17,9,0,164.4914133
43,111.37,9,0,165.4924673
44,111.37,9,0,162.5436843
45,120.97,9,0,173.7163294
46,108.39,9,0,158.4425283
47,108.74,9,0,160.8827306
48,106.52,9,0,157.7822692
49,110.29,9,0,161.7898864
50,116.74,9,0,168.1914105
